filename,label,source,modality,sound_id
HS/F_MSM_A.wav,Pathology,HS,HS,F_MSM_A
HS/M_AVB_RC.wav,Pathology,HS,HS,M_AVB_RC
HS/M_AVB_LLSB.wav,Pathology,HS,HS,M_AVB_LLSB
MIX/L0106.wav,Pathology,MIX,LS,L0106
MIX/H0087.wav,Pathology,MIX,HS,H0087
MIX/L0139.wav,Pathology,MIX,LS,L0139
LS/M_N_LLA.wav,Normal,LS,LS,M_N_LLA
MIX/H0085.wav,Normal,MIX,HS,H0085
MIX/L0073.wav,Pathology,MIX,LS,L0073
MIX/L0007.wav,Pathology,MIX,LS,L0007
MIX/L0083.wav,Pathology,MIX,LS,L0083
MIX/L0027.wav,Pathology,MIX,LS,L0027
LS/M_C_RLA.wav,Pathology,LS,LS,M_C_RLA
MIX/H0052.wav,Pathology,MIX,HS,H0052
MIX/H0090.wav,Pathology,MIX,HS,H0090
MIX/L0086.wav,Pathology,MIX,LS,L0086
LS/F_N_RLA.wav,Normal,LS,LS,F_N_RLA
HS/F_ESM_RUSB.wav,Pathology,HS,HS,F_ESM_RUSB
MIX/H0013.wav,Pathology,MIX,HS,H0013
MIX/L0066.wav,Normal,MIX,LS,L0066
HS/F_N_RC.wav,Normal,HS,HS,F_N_RC
MIX/H0048.wav,Pathology,MIX,HS,H0048
MIX/L0134.wav,Normal,MIX,LS,L0134
MIX/L0041.wav,Normal,MIX,LS,L0041
LS/M_W_RLA.wav,Pathology,LS,LS,M_W_RLA
MIX/L0016.wav,Pathology,MIX,LS,L0016
MIX/H0014.wav,Pathology,MIX,HS,H0014
MIX/L0077.wav,Pathology,MIX,LS,L0077
MIX/H0073.wav,Pathology,MIX,HS,H0073
MIX/L0140.wav,Normal,MIX,LS,L0140
MIX/H0140.wav,Pathology,MIX,HS,H0140
HS/F_ESM_LLSB.wav,Pathology,HS,HS,F_ESM_LLSB
MIX/L0062.wav,Pathology,MIX,LS,L0062
LS/M_R_LUA.wav,Pathology,LS,LS,M_R_LUA
MIX/L0091.wav,Pathology,MIX,LS,L0091
LS/F_G_RMA.wav,Pathology,LS,LS,F_G_RMA
MIX/L0124.wav,Pathology,MIX,LS,L0124
HS/F_S3_LLSB.wav,Pathology,HS,HS,F_S3_LLSB
MIX/H0005.wav,Pathology,MIX,HS,H0005
MIX/L0033.wav,Pathology,MIX,LS,L0033
MIX/H0021.wav,Pathology,MIX,HS,H0021
MIX/H0111.wav,Normal,MIX,HS,H0111
LS/M_PR_RUA.wav,Pathology,LS,LS,M_PR_RUA
MIX/L0126.wav,Pathology,MIX,LS,L0126
MIX/L0101.wav,Pathology,MIX,LS,L0101
HS/F_LDM_LLSB.wav,Pathology,HS,HS,F_LDM_LLSB
LS/M_PR_RMA.wav,Pathology,LS,LS,M_PR_RMA
MIX/H0136.wav,Pathology,MIX,HS,H0136
MIX/H0025.wav,Pathology,MIX,HS,H0025
MIX/H0010.wav,Pathology,MIX,HS,H0010
MIX/H0009.wav,Pathology,MIX,HS,H0009
MIX/H0135.wav,Pathology,MIX,HS,H0135
